category,severity,module,resolution,next_step,documentation
3,Low,System,Review the request and retry.,Retry the operation.,Generic system response.
ALREADY ACKNOWLEDGED,Low,Acknowledgement,The request has already been acknowledged.,No further action is required.,Duplicate acknowledgement.
Aadhaar number does not have mobile number.,Medium,Aadhaar,Link a mobile number with the Aadhaar.,Update Aadhaar details through UIDAI.,OTP authentication requires a linked mobile number.
Aadhaar suspended (Aadhaar is not in authenticatable status).(Your Aadhaar is suspended. Please approach nearest UIDAI Regional Office with valid POI Document.),High,Aadhaar,Visit the nearest UIDAI Regional Office.,Reactivate the Aadhaar using valid identity documents.,Authentication is blocked until Aadhaar is restored.
Biometric data did not match.,Medium,Biometric Authentication,Retry biometric authentication.,Capture a fresh fingerprint or iris scan.,Biometric verification failed.
Biometrics locked by Aadhaar number holder.,High,Aadhaar,Unlock biometrics through UIDAI.,Use the UIDAI portal or mAadhaar application.,Biometric authentication has been disabled by the Aadhaar holder.
Buyer Name not accpted because of 3 repeatitions of a letter is not allowed,Low,Validation,Correct the buyer name.,Remove repeated characters and retry.,Input validation failed.
CONTACT SYSTEM ADMIN,High,System,Contact the system administrator.,Provide logs and request details.,Administrative intervention required.
Click on "Forget Pin" and update your pin first,Medium,Authentication,Reset the PIN using the Forget PIN option.,Login again after updating the PIN.,PIN update required.
DEALER NOT REGISTERED FOR DEVICE,High,Device Registration,Register the device for the dealer.,Contact the fertilizer company or administrator.,Device is not mapped to the dealer.
Device not registered with iFMS. Please contact fertilizer company,High,Device Registration,Register the device in iFMS.,Contact the fertilizer company.,Device registration missing.
ERROR: LOCK PERIOD EXCEEDED,Medium,Authentication,Wait until the lock period expires.,Retry after the cooldown period.,Too many failed authentication attempts.
ERROR: Please Check DD Number You Entered,Medium,Payment,Verify the DD number.,Enter the correct Demand Draft number.,Invalid payment reference.
ERROR: Txn Already Reversed,Medium,Transaction,The transaction has already been reversed.,Do not initiate another reversal.,Duplicate reversal request.
Error! Biometric Device did not send correct PID Data,High,Biometric Device,Reconnect or restart the biometric device.,Capture a fresh biometric sample.,PID block is invalid.
Exceeded Maximum OTP generation Limit. Try after N Mins,Low,OTP,Wait before requesting another OTP.,Retry after the specified time.,OTP rate limit exceeded.
For input string,Low,Validation,Verify the entered value.,Ensure only valid numeric/text input is provided.,Input parsing error.
